           IM.1  EDP.01.mean_x  EDP.02.mean_x  EDP.03.mean_x  EDP.04.mean_x  EDP.05.mean_x  EDP.06.mean_x  EDP.07.mean_x  EDP.08.mean_x  EDP.09.mean_x  EDP.10.mean_x  EDP.11.mean_x  EDP.12.mean_x  EDP.13.mean_x  EDP.14.mean_x  EDP.15.mean_x  EDP.16.mean_x  EDP.17.mean_x  EDP.18.mean_x  EDP.19.mean_x  EDP.20.mean_x  EDP.21.mean_x
       0.659343    1.68558e+05    2.38027e+05    2.12377e+05    2.92381e+05    5.76783e+05    3.22727e+05    1.42918e+05    3.22269e+05    1.23323e+05    3.18016e+05    3.37076e+05    2.69113e+05        80232.0     1.7088e+05        80719.1        91587.3        38842.6        26094.5    1.56567e+05        13192.0        49821.6
       0.674444    1.71249e+05    2.50179e+05    2.17305e+05     2.9203e+05    5.86123e+05    3.24002e+05    1.47369e+05    3.24474e+05    1.29094e+05    3.18706e+05    3.51488e+05    2.67236e+05        78383.0    1.70551e+05        84409.7        96654.3        39454.7        28143.0    1.58209e+05        15886.0        48443.3
       0.689545    1.73862e+05    2.61439e+05    2.22195e+05    2.91675e+05    5.95467e+05    3.25246e+05     1.5177e+05    3.26641e+05     1.3483e+05    3.19388e+05    3.65735e+05    2.65341e+05        76555.8    1.70222e+05        88157.4    1.01584e+05        40072.2        30245.1    1.59858e+05        18804.3        47105.4
       0.704646    1.76123e+05    2.70177e+05    2.26481e+05    2.93863e+05     6.0296e+05    3.27398e+05    1.54511e+05    3.29296e+05    1.38154e+05    3.19309e+05    3.74041e+05    2.63811e+05        75837.5    1.71192e+05        90308.0    1.05595e+05        40461.6        32841.1    1.61412e+05        20957.4        46258.4
       0.719747    1.77964e+05    2.74635e+05    2.29431e+05    3.01534e+05    6.06207e+05    3.31515e+05    1.53589e+05    3.33038e+05    1.36108e+05    3.17516e+05     3.6933e+05    2.63099e+05        77836.2    1.74684e+05        88767.4    1.07818e+05        40329.6        36528.6    1.62749e+05        21005.2        46428.8
       0.734848    1.79711e+05    2.78941e+05     2.3229e+05    3.08857e+05    6.09219e+05     3.3547e+05     1.5264e+05    3.36625e+05    1.34039e+05      3.157e+05    3.64515e+05    2.62396e+05        79850.8    1.78364e+05        87241.1    1.10026e+05        40198.0        40305.2    1.64097e+05        21051.2        46602.2
       0.749949    1.81445e+05    2.83117e+05    2.35061e+05    3.15845e+05    6.12157e+05    3.39272e+05    1.51684e+05    3.40073e+05    1.31948e+05    3.13729e+05    3.59647e+05     2.6188e+05        81880.5    1.81923e+05        85727.7    1.12174e+05        40066.8        44148.6    1.65455e+05        21095.4        46784.9
       0.765051    1.83122e+05    2.87263e+05    2.37726e+05     3.2251e+05    6.14979e+05    3.42923e+05    1.50719e+05    3.43378e+05    1.29833e+05    3.11983e+05    3.54661e+05    2.61017e+05        83925.0     1.8536e+05        84225.9    1.14393e+05        39936.0        48036.0    1.66822e+05        21137.8        46956.8
       0.780152    1.84769e+05    2.91089e+05    2.40325e+05    3.28841e+05    6.17639e+05    3.46434e+05    1.49752e+05    3.46553e+05    1.27702e+05    3.10145e+05    3.49767e+05    2.60341e+05        85983.7    1.88683e+05        82739.6    1.16554e+05        39805.8        51952.0    1.68199e+05        21178.5        47133.6
       0.795253    1.86386e+05    2.94894e+05    2.42843e+05      3.349e+05    6.20194e+05    3.49813e+05    1.48777e+05    3.49608e+05    1.25561e+05     3.0827e+05    3.44761e+05    2.59674e+05        88056.3    1.91895e+05        81262.0      1.187e+05        39675.9        55878.2    1.69585e+05        21217.6        47318.7
       0.810354    1.87947e+05     2.9338e+05    2.45286e+05    3.36208e+05    6.27281e+05    3.49516e+05    1.50216e+05    3.49822e+05    1.24739e+05    3.11845e+05    3.46871e+05    2.64492e+05        86313.9      2.037e+05        81784.2    1.28823e+05        40942.8        57593.9    1.71334e+05        21345.0        48155.3
       0.825455    1.89474e+05    2.89352e+05    2.47989e+05    3.35362e+05    6.36663e+05    3.47519e+05    1.52757e+05    3.48697e+05     1.2494e+05    3.17858e+05     3.5226e+05    2.71594e+05        82764.7    2.18426e+05        83231.9    1.41731e+05        42894.4        58296.2     1.7327e+05        21512.8        49326.2
       0.840556    1.90968e+05    2.85189e+05    2.50657e+05    3.34468e+05    6.46144e+05    3.45458e+05    1.55284e+05    3.47482e+05    1.25005e+05    3.23624e+05    3.57663e+05    2.78405e+05        78898.9    2.32056e+05        84685.3    1.53638e+05        44899.0        58997.4    1.75238e+05        21679.9        50524.9
       0.855657    1.92441e+05     2.8088e+05     2.5335e+05    3.33522e+05    6.55803e+05     3.4333e+05    1.57797e+05    3.46184e+05     1.2509e+05    3.29108e+05    3.63079e+05     2.8501e+05        75220.6     2.4472e+05        86142.1    1.64609e+05        46958.0        59698.4    1.77237e+05        21846.4        51779.3
       0.870758     1.9389e+05    2.76431e+05    2.56079e+05     3.3253e+05    6.65305e+05    3.41133e+05    1.60296e+05    3.44795e+05     1.2519e+05    3.34236e+05    3.68496e+05    2.91373e+05        71570.4    2.56573e+05        87610.3    1.74718e+05        49072.6        60398.1    1.79269e+05        22012.3        53094.3
       0.885859    1.95314e+05    2.71814e+05    2.58803e+05    3.31475e+05    6.74925e+05    3.38863e+05    1.62781e+05    3.43303e+05    1.25314e+05    3.38976e+05    3.73928e+05    2.97519e+05        67951.5    2.67638e+05        89087.1    1.84038e+05        51243.9        61875.9     1.8134e+05        22177.6        54449.4
        0.90096    1.96784e+05    2.67657e+05    2.61328e+05     3.3058e+05    6.83973e+05    3.36749e+05    1.65266e+05    3.41857e+05    1.25554e+05    3.43015e+05    3.80211e+05      3.029e+05        64621.4    2.76915e+05        90526.5    1.91793e+05        53138.1        61598.1    1.82952e+05        22341.2        55708.1
       0.916061    1.99206e+05    2.72692e+05    2.60942e+05     3.3276e+05    6.87661e+05    3.37913e+05    1.67967e+05    3.42374e+05    1.27353e+05    3.43059e+05    3.98622e+05    3.00094e+05        64920.6    2.69879e+05        91312.3    1.86648e+05        50107.1        59942.4    1.77484e+05        22486.3        54723.2
       0.931162    2.01566e+05    2.77682e+05    2.60503e+05    3.34883e+05    6.91227e+05    3.39246e+05    1.70657e+05     3.4288e+05    1.29187e+05    3.43086e+05    4.16847e+05    2.97183e+05        65224.3    2.63148e+05        92108.4     1.8119e+05        47141.1        56614.7    1.72051e+05        22631.1        53768.1
