           IM.1            DS1            DS2            DS3            DS4          E(DS)
        2.38086       0.999803       0.969049       0.412308       0.105834        2.48699
        2.39596       0.999803       0.969049       0.412308       0.105834        2.48699
        2.41106       0.999803       0.969049       0.412308       0.105834        2.48699
        2.42616       0.999803       0.969049       0.412308       0.105834        2.48699
        2.44126       0.999803       0.969049       0.412308       0.105834        2.48699
        2.45636       0.999803       0.969049       0.412308       0.105834        2.48699
        2.47146       0.999803       0.969049       0.412308       0.105834        2.48699
        2.48657       0.999803       0.969049       0.412308       0.105834        2.48699
        2.50167       0.999803       0.969049       0.412308       0.105834        2.48699
        2.51677       0.999803       0.969049       0.412308       0.105834        2.48699
        2.53187       0.999803       0.969049       0.412308       0.105834        2.48699
        2.54697       0.999803       0.969049       0.412308       0.105834        2.48699
        2.56207       0.999803       0.969049       0.412308       0.105834        2.48699
        2.57717       0.999803       0.969049       0.412308       0.105834        2.48699
        2.59227       0.999803       0.969049       0.412308       0.105834        2.48699
        2.60737       0.999803       0.969049       0.412308       0.105834        2.48699
        2.62247       0.999803       0.969049       0.412308       0.105834        2.48699
        2.63758       0.999803       0.969049       0.412308       0.105834        2.48699
        2.65268       0.999803       0.969049       0.412308       0.105834        2.48699
        2.66778       0.999803       0.969049       0.412308       0.105834        2.48699
        2.68288       0.999803       0.969049       0.412308       0.105834        2.48699
        2.69798       0.999803       0.969049       0.412308       0.105834        2.48699
        2.71308       0.999803       0.969049       0.412308       0.105834        2.48699
        2.72818       0.999803       0.969049       0.412308       0.105834        2.48699
        2.74328       0.999803       0.969049       0.412308       0.105834        2.48699
        2.75838       0.999803       0.969049       0.412308       0.105834        2.48699
        2.77348       0.999803       0.969049       0.412308       0.105834        2.48699
        2.78859       0.999803       0.969049       0.412308       0.105834        2.48699
        2.80369       0.999803       0.969049       0.412308       0.105834        2.48699
        2.81879       0.999803       0.969049       0.412308       0.105834        2.48699
        2.83389       0.999803       0.969049       0.412308       0.105834        2.48699
        2.84899       0.999803       0.969049       0.412308       0.105834        2.48699
        2.86409       0.999803       0.969049       0.412308       0.105834        2.48699
        2.87919       0.999803       0.969049       0.412308       0.105834        2.48699
        2.89429       0.999803       0.969049       0.412308       0.105834        2.48699
        2.90939       0.999803       0.969049       0.412308       0.105834        2.48699
        2.92449       0.999803       0.969049       0.412308       0.105834        2.48699
         2.9396       0.999803       0.969049       0.412308       0.105834        2.48699
         2.9547       0.999803       0.969049       0.412308       0.105834        2.48699
         2.9698       0.999803       0.969049       0.412308       0.105834        2.48699
         2.9849       0.999803       0.969049       0.412308       0.105834        2.48699
            3.0       0.999803       0.969049       0.412308       0.105834        2.48699
